Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
CNW,0.021,0.021,0.0,0.021,0.021,0.0,2020-07-06 10:57:00,True,Trading Halt Request,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251924
CNW,0.021,0.021,0.0,0.021,0.021,0.0,2020-07-06 10:56:00,True,Trading Halt,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251923
AUP,2.99,2.99,0.0,2.99,2.99,0.0,2020-07-06 10:53:00,False,NTA Estimate - $6.33,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251922
ABW,,,,,,,2020-07-06 10:51:00,False,NTA Estimate - $0.1800,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251921
BLG,0.032,0.031,-3.12,0.032,0.03,6.67,2020-07-06 10:48:00,False,Appendix 2A,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251920
AIB,0.052,0.052,0.0,0.052,0.052,0.0,2020-07-06 10:47:00,False,NTA Estimate - $0.1250,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251919
88E,0.005,0.005,0.0,0.005,0.004,25.0,2020-07-06 10:39:00,False,XCD Energy Takeover Update,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251918
XCD,0.011,0.011,0.0,0.011,0.011,0.0,2020-07-06 10:39:00,False,88E: XCD Energy Takeover Update,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251918
XF1,0.195,0.175,-10.26,0.195,0.17,14.71,2020-07-06 10:35:00,True,Xref achieves strong sales during COVID-19,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251917
NUS,0.32,0.32,0.0,0.32,0.32,0.0,2020-07-06 10:33:00,False,Investor Presentation - July 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251916
AEV,0.011,0.013,18.18,0.013,0.011,18.18,2020-07-06 10:33:00,True,Reinstatement to Official Quotation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251915
AEV,0.011,0.013,18.18,0.013,0.011,18.18,2020-07-06 10:32:00,False,Proposed issue of Securities - AEV,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251914
KKC,1.95,1.935,-0.77,1.96,1.935,1.29,2020-07-06 10:32:00,False,Net Tangible Asset Update,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251913
AEV,0.011,0.013,18.18,0.013,0.011,18.18,2020-07-06 10:32:00,True,$3.4 million underwritten Placement & Entitlements Issue,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251912
MSB,3.4,3.75,10.29,3.76,3.34,12.57,2020-07-06 10:26:00,False,EAP for Remestemcel-L in Children with MIS-C due to COVID-19,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251911
CDX,0.025,0.027,8.0,0.03,0.024,25.0,2020-07-06 10:24:00,True,Pause in Trading,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251910
AV1,0.079,0.08,1.27,0.085,0.079,7.59,2020-07-06 10:18:00,True,Chief Executive Officer's Contract Extended,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251909
